atributo,importancia
categorical__condicao_metereologica_Céu Claro,0.258922355330271
categorical__uso_solo_Não,0.11539202491298682
categorical__uso_solo_Sim,0.11216223371015847
categorical__tipo_acidente_Colisão traseira,0.10638485732722715
categorical__tipo_acidente_Atropelamento de pessoa,0.08600562368639326
categorical__tipo_acidente_Queda de motocicleta / bicicleta / veículo,0.08445559263715863
categorical__tipo_acidente_Colisão frontal,0.06483823240821993
categorical__tipo_acidente_Incêndio,0.05310493163021677
categorical__tipo_acidente_Colisão com bicicleta,0.04456261939462107
categorical__tipo_acidente_Atropelamento de Pedestre,0.012382394906942306
categorical__tipo_acidente_Queda de ocupante de veículo,0.011418347591726311
categorical__fase_dia_Pleno dia,0.007306204707394175
categorical__causa_acidente_Não guardar distância de segurança,0.0062953326203027075
categorical__causa_acidente_Ingestão de álcool pelo condutor,0.005895378757413883
categorical__tipo_acidente_Colisão transversal,0.005471408599138191
categorical__causa_acidente_Ingestão de Álcool,0.004781684684740508
categorical__uf_RJ,0.004542620805105255
categorical__tipo_acidente_Saída de leito carroçável,0.0031974294760403793
categorical__causa_acidente_Falta de atenção,0.0022165096089417466
categorical__causa_acidente_Velocidade incompatível,0.0019441821347701191
categorical__tipo_pista_Simples,0.0017236378316235587
numeric__mes,0.0010763166340327173
numeric__hora,0.0009386788491877645
categorical__uf_RS,0.0007215671317846638
categorical__fase_dia_Anoitecer,0.0005448015832199444
categorical__condicao_metereologica_Chuva,0.0004050059168240644
categorical__br_116,0.00036429545782063106
numeric__km,0.0003588325901134889
categorical__uf_MG,0.00030651607108633154
categorical__causa_acidente_Defeito mecânico em veículo,0.0002634718054697082
categorical__causa_acidente_Falta de Atenção à Condução,0.00023489380674711094
numeric__fim_de_semana,0.00021974923018270491
numeric__veiculos,0.00020818439730315103
categorical__uf_SP,0.00018449972904826186
categorical__causa_acidente_Ausência de reação do condutor,0.00016375986024106767
categorical__uf_SC,0.0001393802934124557
categorical__tracado_via_Curva,0.00012396729993168499
categorical__condicao_metereologica_Nublado,0.00011052353561662896
categorical__dia_semana_sexta-feira,9.143588182594998e-05
categorical__uf_ES,8.27018924940808e-05
categorical__sentido_via_Decrescente,7.172596051512618e-05
categorical__uf_CE,7.115760258361188e-05
categorical__uf_PR,6.934812944824035e-05
categorical__tipo_pista_Dupla,6.339841269881285e-05
categorical__uf_BA,6.159615399811989e-05
categorical__dia_semana_sábado,4.883940285262529e-05
categorical__tracado_via_Reta,4.566550354639135e-05
categorical__sentido_via_Crescente,2.6084106622429405e-05
categorical__tracado_via_Interseção de Vias;Declive;Rotatória;Curva,0.0
categorical__tracado_via_Interseção de Vias;Declive;Rotatória,0.0
categorical__tracado_via_Interseção de Vias;Declive;Reta;Em Obras,0.0
categorical__tracado_via_Interseção de Vias;Declive;Reta,0.0
categorical__tracado_via_Interseção de Vias;Declive;Viaduto;Reta,0.0
categorical__tracado_via_Interseção de Vias;Declive;Curva,0.0
categorical__tracado_via_Interseção de Vias;Em Obras,0.0
categorical__tracado_via_Interseção de Vias;Em Obras;Desvio Temporário,0.0
categorical__tracado_via_Interseção de Vias;Declive;Em Obras,0.0
categorical__tracado_via_Interseção de Vias;Curva;Viaduto,0.0
categorical__tracado_via_Interseção de Vias;Declive,0.0
categorical__tracado_via_Em Obras;Viaduto;Desvio Temporário,0.0
categorical__tracado_via_Em Obras;Viaduto;Reta,0.0
categorical__tracado_via_Em Obras;Viaduto;Rotatória,0.0
categorical__tracado_via_Interseção de Vias,0.0
categorical__tracado_via_Interseção de Vias;Aclive,0.0
categorical__tracado_via_Interseção de Vias;Aclive;Curva,0.0
categorical__tracado_via_Interseção de Vias;Aclive;Em Obras;Reta,0.0
categorical__tracado_via_Interseção de Vias;Aclive;Reta,0.0
categorical__tracado_via_Em Obras;Viaduto,0.0
categorical__tracado_via_Em Obras;Viaduto;Aclive;Reta,0.0
categorical__tracado_via_Interseção de Vias;Curva,0.0
categorical__tracado_via_Interseção de Vias;Curva;Aclive;Viaduto,0.0
categorical__tracado_via_Interseção de Vias;Curva;Declive,0.0
categorical__tracado_via_Interseção de Vias;Curva;Retorno Regulamentado,0.0
categorical__tracado_via_Interseção de Vias;Curva;Rotatória,0.0
categorical__tracado_via_Interseção de Vias;Em Obras;Desvio Temporário;Reta,0.0
categorical__tracado_via_Interseção de Vias;Reta;Retorno Regulamentado,0.0
categorical__tracado_via_Interseção de Vias;Em Obras;Reta,0.0
categorical__tracado_via_Interseção de Vias;Rotatória;Viaduto,0.0
categorical__tracado_via_Interseção de Vias;Retorno Regulamentado;Viaduto,0.0
categorical__tracado_via_Interseção de Vias;Retorno Regulamentado;Viaduto;Reta,0.0
categorical__tracado_via_Interseção de Vias;Rotatória,0.0
categorical__tracado_via_Interseção de Vias;Rotatória;Aclive,0.0
categorical__tracado_via_Interseção de Vias;Rotatória;Curva,0.0
categorical__tracado_via_Interseção de Vias;Rotatória;Em Obras,0.0
categorical__tracado_via_Interseção de Vias;Rotatória;Reta,0.0
categorical__tracado_via_Interseção de Vias;Rotatória;Reta;Declive,0.0
categorical__tracado_via_Interseção de Vias;Rotatória;Retorno Regulamentado,0.0
categorical__tracado_via_Interseção de Vias;Viaduto,0.0
categorical__tracado_via_Interseção de Vias;Em Obras;Retorno Regulamentado,0.0
categorical__tracado_via_Interseção de Vias;Viaduto;Declive;Reta,0.0
