variavel,importancia
tipo_acidente,0.471821437657684
condicao_metereologica,0.25943788478271174
uso_solo,0.2275542586231453
causa_acidente,0.02179521327862685
fase_dia,0.007851006290614118
uf,0.00617938780896102
tipo_pista,0.0017870362443223717
mes,0.0010763166340327173
hora,0.0009386788491877645
br,0.00036429545782063106
km,0.0003588325901134889
fim_de_semana,0.00021974923018270491
veiculos,0.00020818439730315103
tracado_via,0.00016963280347807633
dia_semana,0.0001402752846785753
sentido_via,9.781006713755559e-05
